Dec. 2, 2021   20:40:44
Amperometric i-t Curve
File: d:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.45
Sample Interval (s) = 0.1
Run Time (sec) = 3e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 169.20s
ip = 9.721e-9A
Ap = 6.985e-8C

tp = 191.40s
ip = 1.208e-8A
Ap = 5.135e-8C

Time/sec, Current/A
7.030e+1, 2.486e-6
7.040e+1, 2.480e-6
7.050e+1, 2.478e-6
7.060e+1, 2.475e-6
7.070e+1, 2.476e-6
7.080e+1, 2.478e-6
7.090e+1, 2.468e-6
7.100e+1, 2.478e-6
7.110e+1, 2.472e-6
7.120e+1, 2.475e-6
7.130e+1, 2.476e-6
7.140e+1, 2.479e-6
7.150e+1, 2.473e-6
7.160e+1, 2.474e-6
7.170e+1, 2.479e-6
7.180e+1, 2.477e-6
7.190e+1, 2.474e-6
7.200e+1, 2.478e-6
7.210e+1, 2.468e-6
7.220e+1, 2.477e-6
7.230e+1, 2.478e-6
7.240e+1, 2.473e-6
7.250e+1, 2.474e-6
7.260e+1, 2.476e-6
7.270e+1, 2.473e-6
7.280e+1, 2.470e-6
7.290e+1, 2.475e-6
7.300e+1, 2.473e-6
7.310e+1, 2.470e-6
7.320e+1, 2.475e-6
7.330e+1, 2.471e-6
7.340e+1, 2.472e-6
7.350e+1, 2.473e-6
7.360e+1, 2.473e-6
7.370e+1, 2.474e-6
7.380e+1, 2.474e-6
7.390e+1, 2.472e-6
7.400e+1, 2.463e-6
7.410e+1, 2.475e-6
7.420e+1, 2.465e-6
7.430e+1, 2.472e-6
7.440e+1, 2.462e-6
7.450e+1, 2.470e-6
7.460e+1, 2.467e-6
7.470e+1, 2.466e-6
7.480e+1, 2.470e-6
7.490e+1, 2.469e-6
7.500e+1, 2.467e-6
7.510e+1, 2.466e-6
7.520e+1, 2.462e-6
7.530e+1, 2.463e-6
7.540e+1, 2.465e-6
7.550e+1, 2.463e-6
7.560e+1, 2.460e-6
7.570e+1, 2.458e-6
7.580e+1, 2.462e-6
7.590e+1, 2.462e-6
7.600e+1, 2.464e-6
7.610e+1, 2.462e-6
7.620e+1, 2.459e-6
7.630e+1, 2.462e-6
7.640e+1, 2.461e-6
7.650e+1, 2.465e-6
7.660e+1, 2.464e-6
7.670e+1, 2.466e-6
7.680e+1, 2.469e-6
7.690e+1, 2.463e-6
7.700e+1, 2.460e-6
7.710e+1, 2.465e-6
7.720e+1, 2.463e-6
7.730e+1, 2.467e-6
7.740e+1, 2.470e-6
7.750e+1, 2.457e-6
7.760e+1, 2.461e-6
7.770e+1, 2.461e-6
7.780e+1, 2.467e-6
7.790e+1, 2.457e-6
7.800e+1, 2.464e-6
7.810e+1, 2.468e-6
7.820e+1, 2.461e-6
7.830e+1, 2.455e-6
7.840e+1, 2.464e-6
7.850e+1, 2.460e-6
7.860e+1, 2.458e-6
7.870e+1, 2.457e-6
7.880e+1, 2.464e-6
7.890e+1, 2.468e-6
7.900e+1, 2.462e-6
7.910e+1, 2.459e-6
7.920e+1, 2.455e-6
7.930e+1, 2.460e-6
7.940e+1, 2.462e-6
7.950e+1, 2.454e-6
7.960e+1, 2.450e-6
7.970e+1, 2.457e-6
7.980e+1, 2.448e-6
7.990e+1, 2.449e-6
8.000e+1, 2.454e-6
8.010e+1, 2.452e-6
8.020e+1, 2.454e-6
8.030e+1, 2.457e-6
8.040e+1, 2.463e-6
8.050e+1, 2.462e-6
8.060e+1, 2.464e-6
8.070e+1, 2.459e-6
8.080e+1, 2.456e-6
8.090e+1, 2.454e-6
8.100e+1, 2.451e-6
8.110e+1, 2.456e-6
8.120e+1, 2.454e-6
8.130e+1, 2.459e-6
8.140e+1, 2.456e-6
8.150e+1, 2.456e-6
8.160e+1, 2.452e-6
8.170e+1, 2.445e-6
8.180e+1, 2.449e-6
8.190e+1, 2.453e-6
8.200e+1, 2.452e-6
8.210e+1, 2.450e-6
8.220e+1, 2.452e-6
8.230e+1, 2.449e-6
8.240e+1, 2.451e-6
8.250e+1, 2.451e-6
8.260e+1, 2.452e-6
8.270e+1, 2.454e-6
8.280e+1, 2.453e-6
8.290e+1, 2.454e-6
8.300e+1, 2.461e-6
8.310e+1, 2.453e-6
8.320e+1, 2.450e-6
8.330e+1, 2.449e-6
8.340e+1, 2.451e-6
8.350e+1, 2.450e-6
8.360e+1, 2.444e-6
8.370e+1, 2.444e-6
8.380e+1, 2.445e-6
8.390e+1, 2.440e-6
8.400e+1, 2.456e-6
8.410e+1, 2.446e-6
8.420e+1, 2.444e-6
8.430e+1, 2.445e-6
8.440e+1, 2.446e-6
8.450e+1, 2.441e-6
8.460e+1, 2.446e-6
8.470e+1, 2.443e-6
8.480e+1, 2.442e-6
8.490e+1, 2.441e-6
8.500e+1, 2.440e-6
8.510e+1, 2.439e-6
8.520e+1, 2.442e-6
8.530e+1, 2.446e-6
8.540e+1, 2.439e-6
8.550e+1, 2.435e-6
8.560e+1, 2.447e-6
8.570e+1, 2.440e-6
8.580e+1, 2.437e-6
8.590e+1, 2.437e-6
